"iWAT_M03(r1)"	"iWAT_M03(r2)"	"Beige/brite (RG on iWAT)_M03(r1)"	"Beige/brite (RG on iWAT)_M03(r2)"
"ENSMUSG00000001655"	7.76716	7.68124	7.60605	7.61065
"ENSMUSG00000001657"	10.4307	10.49895	10.39737	10.41474
"ENSMUSG00000001661"	8.786	8.706895	8.243635	8.19166
"ENSMUSG00000001663"	8.82652	8.79587	8.23627	8.28632
"ENSMUSG00000001665"	6.72224	6.78104	6.42866	6.13102
"ENSMUSG00000001666"	10.57779	10.6512	10.72304	10.93109
"ENSMUSG00000001670"	4.98829	4.91683	5.41005	5.0816
"ENSMUSG00000001672"	4.57813	4.54493	4.51221	4.42599
"ENSMUSG00000001674"	8.77746666666667	8.78609666666667	8.66179333333333	8.68138666666667
"ENSMUSG00000001687"	9.83514	9.83719	10.27294	10.27632
"ENSMUSG00000001700"	8.28895	8.30209	8.38371	8.409705
"ENSMUSG00000001707"	11.12248	11.17968	11.21976	11.27447
"ENSMUSG00000001729"	9.89628	9.764695	9.680675	9.55124
"ENSMUSG00000001739"	6.30396	6.52998	6.01357	6.421
"ENSMUSG00000001741"	5.708025	5.821745	5.667455	5.823225
"ENSMUSG00000001750"	8.22942	8.15112	8.0434	8.02886
"ENSMUSG00000001751"	8.37843	8.33336	7.92586	7.78738
"ENSMUSG00000001755"	9.45892	9.49169	9.50967	9.49656
"ENSMUSG00000001761"	9.457305	9.36462	9.088175	9.013325
"ENSMUSG00000001763"	5.0440025	5.0257175	5.2700175	5.37723
"ENSMUSG00000001767"	7.448475	7.26637	7.21954	7.014345
"ENSMUSG00000001768"	9.17784	9.18352	9.41833	9.30215
"ENSMUSG00000001773"	4.37639	4.32088	4.23029	4.19892
"ENSMUSG00000001774"	10.90951	10.83634	10.84374	10.81054
"ENSMUSG00000001783"	10.572325	10.482195	10.44443	10.403395
"ENSMUSG00000001785"	9.037415	9.01303	8.8266	8.735035
"ENSMUSG00000001794"	12.41953	12.48281	12.31771	12.34857
"ENSMUSG00000001815"	5.6564	5.68615	5.68405	5.69607
"ENSMUSG00000001819"	5.01437	4.93228	4.94087	5.01214
"ENSMUSG00000001823"	4.88681	4.76341	4.81124	4.87383
"ENSMUSG00000001827"	6.46211	6.05562	5.60576	5.66479
"ENSMUSG00000001829"	10.7757	10.7553025	10.73286	10.654215
"ENSMUSG00000001833"	12.150605	12.062235	11.81548	11.81348
"ENSMUSG00000001844"	9.76334	9.74452	9.58464	9.56979
"ENSMUSG00000001847"	11.976985	11.98689	11.864335	11.81669
"ENSMUSG00000001864"	5.55090333333333	5.48724666666667	6.23188	6.24079333333333
"ENSMUSG00000001865"	6.03008	6.11456	5.94724	6.29975
"ENSMUSG00000001870"	8.29959	8.31874	8.02971	7.97534
"ENSMUSG00000001891"	10.244792	10.248752	10.36561	10.378598
"ENSMUSG00000001909"	8.23915333333333	8.23144	8.24325333333333	8.23360333333333
"ENSMUSG00000001910"	6.51487	6.50591333333333	6.58969	6.66978333333333
"ENSMUSG00000001911"	9.370578	9.414806	9.10889	9.01789
"ENSMUSG00000001918"	10.57252	10.54954	11.03804	10.96213
"ENSMUSG00000001924"	11.3181	11.305	11.21086	11.13705
"ENSMUSG00000001930"	4.55133	4.6208	4.45245	4.60874
"ENSMUSG00000001942"	6.50026666666667	6.47403333333333	6.20816333333333	6.13506333333333
"ENSMUSG00000001943"	5.52999	5.77825	5.62498	5.92346
"ENSMUSG00000001946"	7.559	7.62652	7.4186	7.20989
"ENSMUSG00000001948"	5.07437	5.16522	4.74038	4.87426
"ENSMUSG00000001962"	9.88008	9.82725	9.97419	9.91586
"ENSMUSG00000001964"	11.88638	11.82813	11.62373	11.56851
"ENSMUSG00000001985"	5.62154	5.72242	5.66786	5.6597
"ENSMUSG00000001986"	7.27675	7.24298	6.81509	6.82793
"ENSMUSG00000001988"	4.71526	4.74363	5.11025	4.94201
"ENSMUSG00000001995"	8.78327	8.84102	8.56102	8.4956
"ENSMUSG00000001999"	10.85415	10.87547	10.99945	11.08983
"ENSMUSG00000002007"	4.65985	4.68772	4.6134	4.81284
"ENSMUSG00000002010"	12.26756	12.31792	12.642755	12.71237
"ENSMUSG00000002012"	6.12063	6.2153	6.14439	6.20237
"ENSMUSG00000002014"	8.68161333333333	8.71008333333333	8.60928	8.60572333333333
"ENSMUSG00000002015"	12.99925	12.99753	13.23544	13.208935
"ENSMUSG00000002017"	10.70878	10.75194	10.81525	10.77414
"ENSMUSG00000002020"	11.3748	11.24892	11.05505	10.92268
"ENSMUSG00000002028"	6.91969666666667	6.92230333333333	6.87603333333333	6.89254666666667
"ENSMUSG00000002031"	9.15441	9.02759	8.74147	8.92169
"ENSMUSG00000002033"	4.3276	4.19043	4.36207	4.35874
"ENSMUSG00000002043"	9.80709	9.91612	10.0854	10.15138
"ENSMUSG00000002052"	9.00064	9.00408	9.02182	8.99802
"ENSMUSG00000002055"	5.54139666666667	5.49332666666667	5.39594666666667	5.32431
"ENSMUSG00000002057"	4.81649	5.01725	5.15645	4.96201
"ENSMUSG00000002058"	9.5496	9.58921	10.41301	10.45058
"ENSMUSG00000002059"	11.397	11.357075	11.250235	11.240905
"ENSMUSG00000002064"	11.62054	11.53674	11.43647	11.44059
"ENSMUSG00000002068"	8.81886	8.96053	9.15275	9.04912
"ENSMUSG00000002083"	7.85397	7.75191	7.4642	7.71965
"ENSMUSG00000002100"	6.23473	6.19349	6.18009	6.34699
"ENSMUSG00000002102"	12.02409	11.93655	11.86205	11.76523
"ENSMUSG00000002103"	8.70149666666667	8.66367666666667	8.77507666666667	8.65128666666667
"ENSMUSG00000002104"	5.36803	5.40854	5.4347	5.37087
"ENSMUSG00000002105"	8.67484	8.67013	8.72755	8.6664
"ENSMUSG00000002107"	8.687135	8.6354675	8.8390025	8.9038325
"ENSMUSG00000002108"	8.42566	8.4127	8.76598	8.80743
"ENSMUSG00000002109"	6.01736	6.08319	5.981825	5.96242
"ENSMUSG00000002111"	5.96177	5.92118	5.81721	5.95945
"ENSMUSG00000002129"	8.056255	8.0533	7.905075	7.838535
"ENSMUSG00000002147"	8.95111	8.85944	8.92036	8.99843
"ENSMUSG00000002190"	4.569155	4.64716	4.68303	4.61493
"ENSMUSG00000002204"	5.59461	5.70146	5.69532	5.7922
"ENSMUSG00000002205"	9.12531	9.06409	8.98336	8.94219
"ENSMUSG00000002221"	6.95706333333333	6.83147333333333	6.89179333333333	6.68632666666667
"ENSMUSG00000002222"	8.98007	8.96925	8.68663	8.76641
"ENSMUSG00000002227"	7.13833	7.13731	7.17093	7.10384
"ENSMUSG00000002233"	11.048685	11.00545	10.82418	10.803705
"ENSMUSG00000002249"	7.21162	7.12522	7.22092	7.07618
"ENSMUSG00000002250"	5.74492	5.80892	5.64957	5.56837
"ENSMUSG00000002265"	6.70117333333333	6.78368666666667	6.58392333333333	6.63906
"ENSMUSG00000002266"	4.16458	4.11046	4.06853	4.09469
"ENSMUSG00000002274"	6.81659	6.889335	6.62492	6.65443
"ENSMUSG00000002279"	8.13345	8.12402	8.21054	8.21383
"ENSMUSG00000002280"	8.91794	8.93318	9.31338	9.38764
"ENSMUSG00000002289"	8.6586	8.716505	10.3405	10.316325
"ENSMUSG00000002297"	6.245705	6.217515	6.230525	6.150585
"ENSMUSG00000002307"	9.34524	9.45095	9.4285	9.35559
"ENSMUSG00000002308"	7.76941	7.68849	7.58592	7.595125
"ENSMUSG00000002319"	10.17574	10.1627	10.0291366666667	9.91995333333333
"ENSMUSG00000002320"	10.48078	10.49229	10.34574	10.21406
"ENSMUSG00000002324"	5.33166	5.37587	5.22476	5.36218
"ENSMUSG00000002325"	8.23239	8.21971	8.45197	8.39618
"ENSMUSG00000002326"	9.39463	9.33024	9.3994	9.30794
"ENSMUSG00000002329"	9.061005	9.083025	8.953585	8.92177
"ENSMUSG00000002332"	9.42574	9.38052	9.5047	9.34934
"ENSMUSG00000002341"	5.417015	5.57097	5.76162	5.829395
"ENSMUSG00000002342"	8.026465	8.05573	8.0444	8.01817
"ENSMUSG00000002343"	7.15098	7.089705	7.20263	7.073185
"ENSMUSG00000002345"	5.31783	5.34963	5.42405	5.63477
"ENSMUSG00000002346"	7.15054	7.03611	7.3624	7.33078
"ENSMUSG00000002365"	9.98751	9.97655	9.83734	9.7104
"ENSMUSG00000002372"	9.49644	9.40619	9.48624	9.38764
"ENSMUSG00000002379"	12.30223	12.32543	12.72724	12.75835
"ENSMUSG00000002384"	5.06064	5.03774	5.05847	5.04392
