"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000365"	4.06012333333333	3.78941	4.10714333333333	4.33453	4.54385333333333	4.82908666666667	3.93913333333333	4.00566	3.89608	3.78958	3.80896333333333	3.96626333333333	3.81526	3.99809	3.81388	3.75304333333333	4.31179	4.10682666666667
"ENSMUSG00000000374"	11.51841	11.52022	11.56099	11.84038	11.72722	11.83374	11.37089	11.40107	11.3573	11.39527	11.28891	11.49176	11.39818	11.55057	11.22993	11.41507	11.63138	11.52527
"ENSMUSG00000000378"	9.57554	9.92070666666667	9.66129333333333	8.97283	8.86348333333333	8.9278	9.74204	9.59197666666667	10.32045	10.1240266666667	9.10295	9.90291666666667	9.92584333333333	9.08172666666667	9.32343	10.01258	8.93194	8.88361
"ENSMUSG00000000381"	5.14694	5.05377	5.27666	5.60038	5.24194	5.49066	5.45481	5.25864	4.95753	5.10956	5.20301	5.24242	5.16353	5.12095	5.28065	5.26385	5.28065	5.30964
"ENSMUSG00000000384"	9.3831875	9.087605	9.282105	10.3797075	10.3755475	10.5614475	8.94174	8.8994575	8.75581	8.4628375	8.4203875	8.6189875	8.3835825	10.2409075	8.348915	8.5229975	10.2685275	10.016365
"ENSMUSG00000000385"	10.5281766666667	10.1928133333333	10.0743566666667	6.46676666666667	6.11404666666667	6.77807333333333	8.63952333333333	10.2394666666667	9.99443	5.80478	6.11975333333333	5.93739333333333	6.98206666666667	6.37706666666667	6.28059333333333	6.04507	6.06234	6.35866
"ENSMUSG00000000386"	8.27722	8.38826	8.96539	6.53989	6.47742	6.25688	9.09991	8.31583	9.66569	9.84868	7.01392	10.27779	10.19603	6.71106	6.80642	9.61163	6.88179	6.61066
"ENSMUSG00000000392"	10.9578	10.75812	10.50856	8.57884	8.98096	8.6979	11.13165	11.06568	11.12464	9.19044	8.63981	9.01299	9.08053	9.59711	8.75735	8.97296	9.26981	9.54343
"ENSMUSG00000000394"	3.49622	3.65009	3.95099	3.55888	3.54194	3.85447	4.41745	3.6605	3.57793	3.70691	3.69598	3.77398	4.39397	3.82365	3.83562	3.62728	3.63537	3.45985
"ENSMUSG00000000399"	13.09342	13.06939	13.13837	13.57992	13.56896	13.55685	12.72491	12.78227	12.57945	12.63769	12.81406	12.76454	12.7233	13.44606	12.8785	12.69794	13.47023	13.45405
