"BAT_M01(r1)"	"BAT_M01(r2)"	"WAT_M01(r1)"	"WAT_M01(r2)"
"ENSMUSG00000001518"	6.18877	5.9668	5.75953	5.95384
"ENSMUSG00000001520"	6.56998333333333	6.92375	6.95216666666667	6.92106333333333
"ENSMUSG00000001521"	6.02484	5.94566333333333	5.91385	5.91260333333333
"ENSMUSG00000001524"	6.6932775	6.7479	6.39914	6.389865
"ENSMUSG00000001525"	9.19945	9.112335	10.34179	9.877105
"ENSMUSG00000001542"	8.74689	8.76605	8.62591	8.66057
"ENSMUSG00000001552"	7.89673	7.66231	7.84692	7.96258
"ENSMUSG00000001555"	6.864055	6.52037	7.215605	7.05715
"ENSMUSG00000001558"	4.89896	4.96587	5.98561	5.8562
"ENSMUSG00000001566"	3.96915	3.86734	3.82958	3.7803
"ENSMUSG00000001576"	9.11208333333333	9.28041666666667	9.04262666666667	9.08519666666667
"ENSMUSG00000001583"	5.18526333333333	5.20006333333333	6.04276666666667	6.22160666666667
"ENSMUSG00000001588"	5.86694	5.95846	7.468	7.773095
"ENSMUSG00000001604"	8.20675	8.72186	5.29737	6.15562
"ENSMUSG00000001622"	4.63531	4.87998	10.807425	8.742705
"ENSMUSG00000001627"	9.66906	9.61604	9.83545	9.61494
"ENSMUSG00000001630"	7.00324333333333	6.79725	6.08269	6.10174333333333
"ENSMUSG00000001632"	8.1424	8.16452	8.08129	8.15306
"ENSMUSG00000001642"	10.3833366666667	10.5196566666667	9.64735333333333	9.53383666666667
"ENSMUSG00000001655"	4.79274	4.81603	4.63597	4.59636
"ENSMUSG00000001657"	8.32859	7.59796	9.20159	9.28367
"ENSMUSG00000001661"	7.753255	7.826405	7.670835	7.5053
"ENSMUSG00000001663"	9.36663	8.98041	9.79719	9.97543
"ENSMUSG00000001665"	5.84098	6.11942	9.05822	9.3143
"ENSMUSG00000001666"	11.68694	11.72112	10.41238	10.47004
"ENSMUSG00000001670"	5.60047	5.63715	5.34886	5.32697
"ENSMUSG00000001672"	4.99354	4.79121	6.481775	5.98504
"ENSMUSG00000001674"	6.93304333333333	6.92152333333333	7.06561333333333	7.03831333333333
"ENSMUSG00000001687"	9.92205	10.11393	10.17834	10.29852
"ENSMUSG00000001700"	7.761075	7.650625	7.89758	7.711285
"ENSMUSG00000001707"	8.60866	8.61874	8.61909	8.15272
"ENSMUSG00000001729"	7.8758	7.57399333333333	7.49632666666667	7.37235
"ENSMUSG00000001739"	7.52956	7.26973	7.07889	7.24782
"ENSMUSG00000001741"	5.59205666666667	5.53304333333333	5.62684666666667	5.31582333333333
"ENSMUSG00000001750"	7.41595	7.38434	7.51355	7.35914
"ENSMUSG00000001751"	6.92817	6.61475	7.39265	7.42264
"ENSMUSG00000001755"	8.71612	8.575865	7.70183	7.67508
"ENSMUSG00000001761"	6.50089333333333	6.43779333333333	6.58285666666667	6.71149666666667
"ENSMUSG00000001763"	5.053366	4.915894	5.61367	5.993098
"ENSMUSG00000001767"	6.071365	6.179405	6.128445	6.10049
"ENSMUSG00000001768"	7.28378	7.32887	7.93437	7.52155
"ENSMUSG00000001773"	3.8859	4.05157	6.60915	7.59251
"ENSMUSG00000001774"	9.51643	9.36178	9.12166	8.96002
"ENSMUSG00000001783"	7.52949666666667	7.36031333333333	8.72169333333333	9.20015666666667
"ENSMUSG00000001785"	7.668115	7.82994	7.92724	7.83067
"ENSMUSG00000001786"	7.88242	7.99306	8.26345	8.30261
"ENSMUSG00000001794"	11.70332	11.71929	11.21926	11.19487
"ENSMUSG00000001802"	6.25193	6.46539	5.71076	5.91718
"ENSMUSG00000001815"	5.70841	5.7161	5.42634	5.62153
"ENSMUSG00000001819"	4.985215	4.581715	4.647545	4.53073
"ENSMUSG00000001823"	4.48955	4.60918	4.07662	4.23326
"ENSMUSG00000001827"	5.06366	4.48408	9.49012	9.04831
"ENSMUSG00000001829"	10.9831875	11.08688	10.4022625	10.22066
"ENSMUSG00000001833"	10.471485	10.34891	10.52131	10.389865
"ENSMUSG00000001844"	8.91805	8.8327	8.80521	8.85069
"ENSMUSG00000001847"	11.46432	11.435815	11.542065	11.52759
"ENSMUSG00000001855"	6.81838	6.983395	7.251725	7.295115
"ENSMUSG00000001864"	7.10351666666667	6.73299666666667	6.74620333333333	6.70528666666667
"ENSMUSG00000001865"	7.63245	6.78662	5.9711	5.70714
"ENSMUSG00000001870"	4.7264375	4.71681	4.96812	4.8289875
