"sWAT_M06(r1)"	"sWAT_M06(r2)"	"sWAT_M06(r3)"	"sWAT_M06(r4)"	"BAT_M06(r1)"	"BAT_M06(r2)"	"BAT_M06(r3)"	"BAT_M06(r4)"
"ENSMUSG00000001020"	11.16201	10.64234	11.01675	11.28189	8.04282	8.39114	8.9053	9.82197
"ENSMUSG00000001021"	3.56924	3.4091	2.86131	3.12273	3.70966	3.30923	2.93065	3.44866
"ENSMUSG00000001023"	4.03975	3.93518	4.29369	3.90602	4.1262	4.05244	3.8102	4.1717
"ENSMUSG00000001025"	10.97203	10.90967	10.51012	11.42917	9.04364	9.9726	9.77022	10.78011
"ENSMUSG00000001027"	4.49284	4.78768	4.98331	4.40299	4.85105	4.6771	4.75796	4.71486
"ENSMUSG00000001029"	8.59873	8.63433	7.25493	8.6523	7.8966	7.94241	8.37376	7.83493
"ENSMUSG00000001034"	5.92791	5.91442	5.10175	6.27235	5.41243	5.52478	5.53872	5.75071
"ENSMUSG00000001036"	6.49850666666667	6.55670666666667	5.16574666666667	6.28633333333333	7.18081	6.99953666666667	7.12300666666667	7.39400666666667
"ENSMUSG00000001039"	5.91104	5.68405	4.85517	5.67914	5.82623	5.74818	5.69791	5.64542
"ENSMUSG00000001052"	6.903775	6.72588	6.255645	6.62832	6.85644	6.62398	6.69255	6.727415
"ENSMUSG00000001053"	6.55303	6.45608	6.22964	6.58376	6.28835	6.62951	6.53206	6.89127
"ENSMUSG00000001054"	7.48864	7.30875	7.50987	7.52567	7.12679	7.17395	7.13152	7.14948
"ENSMUSG00000001056"	9.41279	8.761575	7.705	9.448425	9.107685	9.09696	8.96071	9.23897
"ENSMUSG00000001062"	5.78093	5.87518	4.919665	5.955345	5.94774	6.07124	5.920775	6.15614
"ENSMUSG00000001065"	5.433065	5.572035	5.3927	5.6294425	5.3148075	5.5413875	5.4575525	5.3094475
"ENSMUSG00000001082"	6.74837	6.37094	5.80171	6.50602	6.28849	6.39413	6.20772	6.4631
"ENSMUSG00000001089"	7.399055	7.494835	6.93715	7.34695	8.44133	8.63568	8.211535	7.98196
"ENSMUSG00000001095"	5.13906	5.35779	5.37312	5.3408	6.03718	5.49248	5.42385	5.49155
"ENSMUSG00000001098"	8.78399	8.78904	5.96715	8.81655	8.09294	8.46705	8.26374	8.25567
"ENSMUSG00000001100"	7.525205	7.849455	7.302105	7.628965	10.232775	10.331725	9.883215	9.25728
"ENSMUSG00000001103"	4.23736	4.58372	4.87397	4.498055	5.25818	5.126115	4.912035	5.112625
"ENSMUSG00000001105"	8.61604	8.70742	8.86574	8.54341	8.43652	8.61712	8.50952	8.70047
"ENSMUSG00000001119"	8.69636	9.60895	8.38215	9.42647	6.90372	7.87423	7.8064	9.98127
"ENSMUSG00000001120"	5.169285	5.368175	5.27455	5.00712	5.59389	5.59274	5.429515	5.210025
"ENSMUSG00000001123"	6.56946	6.31454	4.32569	6.92819	6.62353	6.84868	6.96613	6.71052
"ENSMUSG00000001127"	6.200876	6.40761	6.00189	6.32758	6.186574	6.31995	6.442254	5.982672
"ENSMUSG00000001128"	8.1126	8.18012	7.08497	8.91388	5.69602	5.92419	6.28826	7.79716
"ENSMUSG00000001131"	5.21323	5.28741	5.00748	5.61029	4.79324	4.50395	4.57598	6.04582
"ENSMUSG00000001138"	5.7030225	5.8600225	5.5044075	5.8593325	6.2670075	6.3520075	6.21995	6.038865
"ENSMUSG00000001143"	6.597385	6.44592	6.15085	6.2725	6.36333	6.38298	6.829415	6.746675
"ENSMUSG00000001150"	7.99996	7.72263	7.83009	8.23437	7.06454	7.30241	7.27117	7.36324
"ENSMUSG00000001151"	7.20816	7.165445	6.73619	7.131405	6.698645	7.000645	6.959455	6.638265
"ENSMUSG00000001155"	4.42561	4.32032	4.74496	4.42597	4.81479	4.37618	4.40068	4.53591
"ENSMUSG00000001156"	5.99955	5.88774333333333	5.76187333333333	6.32498	5.77594333333333	5.58638	5.43167	5.42783
"ENSMUSG00000001157"	6.05011	5.7085825	5.30633	5.8178675	5.1682	5.4797975	5.7182725	5.4782325
"ENSMUSG00000001158"	10.03588	10.18238	10.172275	9.96225	10.35332	10.584505	10.52265	10.678965
"ENSMUSG00000001166"	5.94641	3.84978	5.89084	6.16438	4.7585	4.50286	4.39281	5.22764
"ENSMUSG00000001168"	4.03913	4.2677	4.11903	4.09891	4.09943	4.3399	4.53526	4.56118
"ENSMUSG00000001173"	5.08448333333333	5.16797	5.23303	5.29965333333333	5.08361666666667	5.14109333333333	5.51971333333333	5.22063
"ENSMUSG00000001175"	11.046766	10.894908	10.873922	10.992864	10.012162	10.397258	10.0309	10.058494
"ENSMUSG00000001211"	6.31596	6.7092525	5.8459475	6.4585625	8.7177175	8.88448	8.3431825	7.96276
"ENSMUSG00000001225"	2.73910666666667	2.80467	3.05128	2.82868666666667	3.21201	2.91394	2.98386333333333	2.89249
"ENSMUSG00000001227"	5.19105	5.03009	5.23937	5.57319	5.7979	5.47677	5.77132	5.67157
"ENSMUSG00000001228"	6.85188	5.78509666666667	6.24864666666667	6.62172333333333	5.83127	5.64553666666667	5.62589666666667	5.33501333333333
"ENSMUSG00000001229"	7.28101	7.2317	5.71532	7.46259	6.72312	7.04163	6.88301	7.22829
"ENSMUSG00000001240"	8.02609666666667	8.36239	6.14939333333333	8.26259333333333	8.75131333333333	9.05823333333333	8.90467333333333	8.67067
"ENSMUSG00000001247"	6.1967	6.17296	5.93649	6.39172	5.9995	5.80742	5.97954	6.186
"ENSMUSG00000001248"	9.44416	9.72286	6.44872	9.41399	7.98671	7.7838	7.87037	7.74387
"ENSMUSG00000001249"	4.85384	4.63544	4.77332	5.07201	5.65621	5.50345	5.78519	5.32496
"ENSMUSG00000001260"	2.558645	2.91016	3.103395	2.654405	2.90413	2.816205	2.849835	2.768295
"ENSMUSG00000001270"	7.3704	7.82233	6.94686	8.0776	7.2663	8.73527	7.51986	8.44904
"ENSMUSG00000001280"	8.91144666666667	8.65741666666667	8.91253333333333	8.61055333333333	7.54300666666667	7.72481333333333	7.95622666666667	8.02695333333333
"ENSMUSG00000001281"	9.02113	8.94627	7.38713	9.26833	6.73087	6.41578	6.45188	6.75421
"ENSMUSG00000001285"	6.08137	5.873575	5.407845	6.150745	6.063815	6.212155	5.950235	6.22176
"ENSMUSG00000001288"	5.02559	5.227135	5.42687	5.5575	5.7521	5.7383	5.61191	5.87144
"ENSMUSG00000001289"	11.30531	11.31014	10.688315	11.430235	10.55173	10.596625	10.6437	11.352425
"ENSMUSG00000001300"	5.3859675	5.5203625	5.5743025	5.575585	5.659975	5.601525	5.62225	5.7125425
"ENSMUSG00000001305"	7.67671	7.31423	6.44048	7.56271	7.15075	7.09441	7.11942	7.48864
"ENSMUSG00000001313"	5.49659	5.70362	5.54995	5.21576	5.40277	5.24257	5.5805	5.67111
"ENSMUSG00000001323"	5.499872	5.637598	5.962596	5.372104	6.433106	6.587274	6.493904	6.551452
"ENSMUSG00000001333"	4.06800666666667	4.11994333333333	4.11916	3.96228333333333	4.34745333333333	4.29246666666667	4.36649	4.47864333333333
"ENSMUSG00000001334"	4.55392	4.739695	4.316675	4.472605	5.548145	5.326065	4.64954	5.13389
"ENSMUSG00000001348"	9.80436	10.25776	7.76577	10.46805	9.32298	9.26737	9.27938	10.28584
"ENSMUSG00000001349"	3.62293	3.82384	3.32416	3.06532	4.5518	5.27162	4.77107	3.90314
"ENSMUSG00000001366"	7.841875	8.017175	7.163335	7.858575	8.933685	9.05669	9.240545	8.53263
"ENSMUSG00000001376"	6.306335	6.18832	6.27135	6.057065	6.06836	5.98033	6.35537	6.16173
