"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000000817"	6.55809	6.63707	6.69969	6.66971	6.81644	6.50805	6.70636	6.40314	6.59867	6.74536	6.64498	6.95403
"ENSMUSG00000000823"	8.38124	8.4877	8.52082	8.93156	8.96973	9.0951	8.66633	8.53713	8.75842	8.808	8.89585	8.90999
"ENSMUSG00000000826"	9.93828	10.12922	10.05794	10.09638	9.97043	10.09474	10.00862	10.12948	10.11479	10.12028	10.0649	10.11157
"ENSMUSG00000000827"	9.68028	9.69777	9.72263	9.4706	9.34913	9.50915	9.69565	9.77579	9.7112	9.28946	9.2111	9.28317
"ENSMUSG00000000838"	9.44434	9.41321	9.59362	11.65316	11.09613	11.19625	9.55796	9.47432	9.50094	11.05139	10.20563	10.17949
"ENSMUSG00000000861"	8.07882	8.14758	8.29772	8.03316	7.86695	8.04461	8.32576	9.03549	8.19124	9.74679	9.72586	10.46229
"ENSMUSG00000000869"	7.34048	7.49358	7.40509	7.21038	7.3167	7.18491	7.21535	7.25983	7.28379	7.30703	7.30703	7.34987
"ENSMUSG00000000876"	10.71503	11.02958	10.96887	11.1133	11.34595	11.29408	10.89948	10.87533	11.19601	10.77732	10.78064	10.39671
"ENSMUSG00000000881"	7.75042	7.45033	7.57105	7.43123	7.47882	7.48066	7.523	7.52591	7.36532	7.23442	7.3574	7.32427
"ENSMUSG00000000884"	7.9874	8.064	8.17279	7.90498	7.98135	7.99425	8.17148	7.98356	7.85866	7.85424	7.97591	7.95616
"ENSMUSG00000000889"	6.67543	6.80771	6.78397	6.52597	6.59204	6.60767	6.71151	6.55325	6.64196	6.6017	6.58468	6.79638
"ENSMUSG00000000901"	8.13144	8.23433	7.95573	8.84628	8.85672	8.90466	8.21535	8.14443	8.04708	8.5544	8.58237	8.3717
"ENSMUSG00000000902"	9.26909	9.06148	9.01302	9.15525	8.93708	9.12783	9.46326	9.32307	9.34795	9.06401	9.09777	9.27679
"ENSMUSG00000000903"	7.5119	7.87697	7.71704	7.6721	7.7299	7.41507	7.73382	8.09131	7.77136	8.38297	8.1623	8.32825
"ENSMUSG00000000915"	8.61393	8.87719	8.82311	8.42194	8.45543	8.53211	8.65032	8.57075	8.62744	8.71185	8.74187	8.94731
"ENSMUSG00000000916"	8.05007	8.11485	8.06075	8.05618	7.80557	7.91688	8.05232	8.08045	8.11951	7.81836	7.86488	8.03716
"ENSMUSG00000000934"	8.79626	8.7905	9.03353	8.74617	8.75907	8.73966	8.96688	8.92212	9.06904	8.47976	8.51399	8.57612
"ENSMUSG00000000938"	7.24976	7.07388	7.36818	7.128465	7.316575	7.162085	7.261405	7.139145	7.18767	7.35821	7.295785	7.221475
"ENSMUSG00000000942"	9.49204	9.4335	9.37298	8.93389	8.83513	8.93627	9.70427	9.25706	9.21014	8.73774	8.66095	8.70101
"ENSMUSG00000000957"	8.63955	9.04721	8.84847	9.46011	9.5704	9.91103	8.92365	9.05596	8.84894	9.64371	10.23099	10.16895
"ENSMUSG00000000958"	7.94714	7.74266	7.67842	8.13064	8.34594	8.42683	8.03307	8.35426	8.01949	8.43361	8.95994	9.02384
"ENSMUSG00000000959"	11.61736	11.58733	11.42073	10.66671	10.82698	10.89592	11.79871	11.75354	11.73437	10.81067	10.76468	10.76388
"ENSMUSG00000000976"	8.85759	8.8958	8.76418	9.3871	9.19095	9.58525	8.97076	9.10317	9.16096	9.30264	9.23641	9.50195
"ENSMUSG00000000982"	7.5356	7.29479	7.48582	7.5089	7.51663	7.66089	7.33659	7.54756	7.52014	7.52093	8.02462	8.08117
"ENSMUSG00000000983"	6.89074	6.98098	7.02293	7.04392	6.96441	6.92282	6.62109	7.07535	6.49163	7.24935	7.12426	7.45581
"ENSMUSG00000001014"	7.48376	7.41233	7.51748	7.14474	7.09457	7.20199	7.38207	7.29495	7.23993	7.22323	7.22948	7.21918
"ENSMUSG00000001016"	8.44052333333333	8.29389666666667	8.49906333333333	8.64123666666667	8.40032333333333	8.73749666666667	8.49893333333333	8.70900333333333	8.61045	8.65207333333333	8.39720666666667	8.84773
"ENSMUSG00000001017"	9.26126	9.45202	9.36484	9.18076	9.19548	9.30094	9.17714	9.49659	9.23662	9.38184	9.51318	9.63987
"ENSMUSG00000001018"	9.72759727272727	9.47137545454546	9.39647181818182	9.65077454545455	9.54831909090909	9.56243	9.76764909090909	9.63404363636364	9.64035545454546	9.56611545454546	9.38370272727273	9.36417272727273
"ENSMUSG00000001020"	7.70999	7.47212	7.1857	8.34715	7.83617	7.71405	7.66054	7.4667	7.29295	7.9209	8.23836	8.42167
"ENSMUSG00000001021"	7.17161	6.79671	7.02702	6.84523	6.70438	6.59926	6.99398	6.97191	6.88034	7.1804	6.77211	6.88532
"ENSMUSG00000001023"	6.8732	7.1043	6.87243	6.76509	6.87869	6.6439	6.70641	6.852	6.48229	6.72716	6.8518	6.89763
"ENSMUSG00000001025"	7.9072	8.32445	7.99402	10.09843	8.99181	9.15769	8.60428	8.35851	8.33844	8.94066	9.11775	9.45359
"ENSMUSG00000001027"	9.6367	9.5236	8.568	7.75294	7.79151	7.85297	8.03508	8.01361	7.92678	7.98431	7.97814	8.0398
