"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000001366"	6.61363	6.50859	6.49915	6.52561	6.82014	6.62308	6.54116	6.53352	6.49765	6.64707	6.53293
"ENSMUSG00000001380"	6.98938	6.66686	6.8699	6.82941	7.6002	7.27727	6.94483	7.16174	6.80099	7.32775	6.78476
"ENSMUSG00000001415"	6.25678	6.26093	6.29401	6.37008	6.58458	6.71376	6.6673	6.53821	6.48253	6.53886	6.65083
"ENSMUSG00000001416"	8.3557	8.00823	8.32648	8.37617	8.76005	8.12752	7.91177	8.03402	7.88675	8.37639	7.93547
"ENSMUSG00000001418"	9.95951	9.99178	9.95925	10.19935	9.48954	9.748	9.87676	9.96112	10.27102	10.00792	10.10956
"ENSMUSG00000001419"	7.61616	7.56392	7.65168	7.70792	6.87966	7.46064	7.64836	7.51816	7.47486	7.40638	7.34582
"ENSMUSG00000001424"	7.85487	7.56917	7.90392	7.7518	8.32109	7.94889	7.75631	7.84631	7.82808	7.85122	7.94158
"ENSMUSG00000001435"	8.6063	8.58980666666667	8.71023	8.68212666666667	8.25789666666667	7.66738	7.53028666666667	7.27921666666667	7.25463333333333	7.32734333333333	7.33204
"ENSMUSG00000001436"	7.92884	8.07267	7.86282	7.94226	8.085	7.49655	7.47983	7.37292	7.3963	7.59664	7.6088
"ENSMUSG00000001440"	8.07983	7.84477	8.23269	7.91898	7.8441	8.00358	7.88686	8.04261	7.92084	8.07238	7.85951
"ENSMUSG00000001441"	7.40549	7.29267	7.48862	7.41589	7.34319	7.63734	7.70115	7.52517	7.51585	7.61785	7.46383
"ENSMUSG00000001467"	7.15487	7.10102	7.31126	7.41285	6.89424	6.7354	6.7262	7.10111	7.09504	6.94371	6.79581
"ENSMUSG00000001472"	6.23111	6.38029	6.38472	6.26155	6.11543	6.46705	6.3577	6.51404	6.69238	6.39705	6.48584
"ENSMUSG00000001473"	9.02293	8.42586	9.25095	8.86951	9.75377	9.26972	8.98234	9.61131	8.6829	9.38131	8.28927
"ENSMUSG00000001482"	5.91633	5.92977	6.11947	6.00811	5.99903	5.9908	6.00863	6.00966	5.82653	6.03117	6.08569
"ENSMUSG00000001493"	5.09248	5.22229	5.33329	5.26147	5.24127	4.82231	5.10041	5.26655	4.98372	4.86729	5.13734
"ENSMUSG00000001497"	2.60876	2.31602	2.4421	2.52156	2.34036	2.40472	2.53169	2.43273	2.56055	2.31362	2.67259
"ENSMUSG00000001506"	11.31459	11.06141	11.496135	11.30951	10.643915	12.465755	12.331925	12.417935	12.30942	12.207895	11.965325
"ENSMUSG00000001507"	5.721475	5.803565	5.77487	5.72133	5.323145	5.449135	5.495875	5.620735	5.64611	5.43751	5.562575
"ENSMUSG00000001508"	4.55789	4.57938	4.633945	4.530835	4.848345	4.756335	4.67802	4.80991	4.704655	4.641585	4.7559
"ENSMUSG00000001510"	6.47951	6.87611	6.77298	6.65511	6.43524	6.31189	6.43929	6.40246	6.47627	6.31211	6.44126
"ENSMUSG00000001517"	7.44152	7.35081	7.502655	7.34584	7.261095	7.17726	7.15178	7.110895	7.211745	7.14809	7.26692
"ENSMUSG00000001521"	6.384115	6.40592	6.40462	6.29168	6.30523	6.523405	6.435565	6.493175	6.40067	6.445505	6.539225
"ENSMUSG00000001524"	7.40924	7.38139	7.50306	7.35641	7.66364	7.05041	7.06492	7.04555	6.84836	7.36612	7.10529
"ENSMUSG00000001525"	10.5403	10.23073	10.87485	10.60815	11.134725	10.58067	10.15942	10.698565	10.31436	10.611115	10.12807
"ENSMUSG00000001542"	4.83264	4.80976666666667	4.90995333333333	4.79378666666667	4.63273666666667	4.94329	4.90081	4.85137666666667	4.67731666666667	4.97963	4.73142666666667
"ENSMUSG00000001552"	6.53351	6.59644	6.56267	6.90683	6.45208	6.43135	6.46835	6.64591	6.68247	6.47356	6.57239
"ENSMUSG00000001555"	8.44534	7.85733	8.87842	8.52139	8.1358	8.24456	8.06726	8.25112	8.19695	8.22733	8.12024
"ENSMUSG00000001576"	6.26588	6.21559	6.41039	6.45967	6.64202	7.14202	7.09682	7.10883	7.15225	7.10044	6.98699
"ENSMUSG00000001604"	4.66889	4.7908	4.86539	4.68949	5.16277	5.34003	5.1497	5.37313	5.24516	5.22607	5.09707
"ENSMUSG00000001622"	5.11727	5.37202	5.31606	5.26076	4.95146	5.25047	5.13042	5.02562	5.22736	4.97457	5.2048
"ENSMUSG00000001627"	6.01025	5.96777	5.97846	6.03119	6.07885	5.73544	5.75679	5.88251	5.52264	6.06369	5.46676
"ENSMUSG00000001657"	5.27211	5.57116	5.47384	5.2168	5.19066	6.40865	6.11162	6.24191	6.41643	6.3158	6.31884
"ENSMUSG00000001663"	8.13023	8.07401	8.14918	8.31068	8.28424	7.81037	7.75439	7.57424	7.9256	7.82336	7.90245
"ENSMUSG00000001666"	9.24867	9.2392	8.79659	9.19484	9.15299	8.32083	8.41025	8.2682	8.19989	8.75637	8.43796
"ENSMUSG00000001670"	4.43839	4.59486	4.59246	4.52812	4.65976	4.72256	4.90157	4.71945	4.86706	4.63018	4.72941
"ENSMUSG00000001674"	6.512985	6.30579	6.61842	6.668505	6.79849	5.8551	5.93119	5.955835	6.091975	6.00977	6.12003
"ENSMUSG00000001687"	6.67111	6.37615	6.60551	6.78781	6.99846	7.124	7.03479	7.11935	6.93106	7.3109	6.92197
"ENSMUSG00000001700"	5.37335	5.32018	5.29766	5.31229	5.36514	5.24056	5.21647	5.4748	5.25732	5.21783	5.39848
"ENSMUSG00000001729"	7.98159	7.8919	8.25807	8.06381	8.11529	8.1927	8.1245	8.1462	8.14051	8.22613	8.16081
