"Deep neck_patient 1_hM2"	"Subcutaneous neck_patient 1_hM2"	"Deep neck_patient 2_hM2"	"Subcutaneous neck_patient 2_hM2"	"Deep neck_patient 3_hM2"	"Subcutaneous neck_patient 3_hM2"	"Deep neck_patient 4_hM2"	"Subcutaneous neck_patient 4_hM2"	"Deep neck_patient 5_hM2"	"Subcutaneous neck_patient 5_hM2"	"Deep neck_patient 6_hM2"	"Subcutaneous neck_patient 6_hM2"
"ENSG00000005108"	5.48435	5.61078	5.51047	5.77684	5.78256	5.82797	6.01915	5.67823	5.66048	5.70436	5.62948	5.61128
"ENSG00000005156"	9.06336	9.02426	8.94837	9.14412	8.95618	9.16987	9.01875	9.06312	8.75705	8.96985	8.65837	9.0122
"ENSG00000005175"	8.56135	8.15826	8.40964	7.77587	8.20768	8.28355	8.35863	8.10966	8.13827	7.98108	8.16924	8.14564
"ENSG00000005187"	5.14598	5.1989	5.28093	5.21532	5.39138	5.46058	5.56124	5.3099	5.39798	5.36227	5.28972	5.21116
"ENSG00000005189"	6.5106	6.5793	6.82464	7.07379	7.25185	7.19335	7.42746	7.20359	6.87722	6.82165	6.82733	6.92898
"ENSG00000005194"	8.76879	8.862	9.05561	8.6448	8.77912	8.82499	8.75777	8.77328	8.97189	8.8916	8.85664	8.54369
"ENSG00000005206"	9.05126	9.18644	8.95703	8.97774	8.70961	8.43136	8.96814	8.93474	8.97673	9.04881	8.8749	8.85928
"ENSG00000005238"	9.61112	9.6251	9.97068	10.03859	9.9052	10.024	9.71201	9.57343	9.47124	9.35458	9.23623	9.48923
"ENSG00000005243"	10.6462	10.78857	10.97592	11.17511	10.95926	10.65636	11.06155	11.13531	11.14904	10.88465	11.08166	11.13274
"ENSG00000005249"	6.12964	6.30253	6.12978	6.80941	6.43591	6.91888	6.2165	6.23662	6.11629	5.88845	6.15969	6.2502
"ENSG00000005302"	8.96846	9.19761	9.20137	9.00565	9.0508	9.26181	8.91716	8.95616	9.07647	8.97135	9.02156	8.97297
"ENSG00000005339"	10.37653	10.43974	10.30443	10.16799	10.30631	10.26861	10.40454	10.28993	10.32369	10.38693	10.33367	10.33974
"ENSG00000005379"	7.29496	7.3861	7.27448	7.76803	7.35848	7.16032	7.30925	7.33704	7.33368	7.46553	7.3694	7.33381
"ENSG00000005381"	6.07299	6.32034	6.26867	6.48986	6.26424	6.01786	6.30797	6.45027	6.47933	6.49565	6.43364	6.38866
"ENSG00000005421"	4.70516	4.89831	4.96763	4.94732	5.22153	4.91724	4.99573	5.04267	4.93153	4.93186	4.93752	5.08673
"ENSG00000005436"	7.8832	7.685	8.1531	7.4688	7.49592	7.58812	7.80708	8.00249	8.19463	8.23353	8.0623	7.70776
"ENSG00000005448"	7.94302	8.33398	7.53425	7.86494	7.47174	7.81933	7.95623	8.13967	7.69172	7.9171	7.7397	7.58481
"ENSG00000005469"	8.27471	7.78101	8.1664	7.54643	7.87998	7.88717	8.05473	7.80713	8.32646	7.99705	8.25387	7.94105
"ENSG00000005471"	5.65875	6.09314	5.65915	6.75241	5.76275	6.41295	5.61199	5.7979	5.64682	6.23001	5.7526	6.12541
"ENSG00000005483"	10.71511	10.63255	10.57736	10.53315	10.44222	10.49013	10.39364	10.38628	10.25231	10.46518	10.19946	10.42341
"ENSG00000005486"	10.57674	10.50837	10.84811	11.00386	10.65976	10.58388	10.50809	10.3088	10.3527	10.36041	10.35399	10.65459
"ENSG00000005513"	6.984065	7.084815	7.139945	7.3836	7.089835	7.08033	7.116185	7.14991	7.231165	7.3669	7.32192	7.268125
"ENSG00000005700"	9.91918	9.90189	10.19514	10.03177	9.89074	9.97432	10.02017	10.30459	10.09903	10.124	10.06752	10.02555
"ENSG00000005801"	9.06569	9.01492	8.85935	8.88985	9.11509	9.07513	8.81447	8.73349	8.82932	9.07355	8.79646	9.00032
"ENSG00000005810"	10.83607	10.73999	9.47341	10.05135	9.57111	9.863	10.06063	9.64056	10.39065	10.05998	10.33169	10.4606
