"Treated BAT (fex)_R2(r1)"	"BAT_R2(r1)"	"Beige/brite (fex on gWAT)_R2(r1)"	"gWAT_R2(r1)"	"Beige/brite (fex on iWAT)_R2(r1)"	"iWAT_R2(r1)"
"ENSMUSG00000081461"	-0.139452440606415	-0.277369893867149	-0.040854740071671	-0.0893244983161795	-0.170486509868455	-0.294839804028789
"ENSMUSG00000027194"	11.3339891251741	11.4299478927254	11.5814241961131	11.5226272457988	11.3777932055775	11.4098393128424
"ENSMUSG00000072754"	-0.2319417197742	0.0105996414912845	0.489560612845499	-0.248864375302574	-0.242647485118321	-0.241600381466707
"ENSMUSG00000085030"	5.43533907031507	5.38035556416389	6.90149130814285	6.66698598124631	6.05333518553661	6.02781131504955
"ENSMUSG00000022089"	10.4445127346834	10.7169959837652	11.4040904192793	11.1334146200792	10.8689967588865	10.8012921512342
"ENSMUSG00000003848"	10.6215963444247	10.8825104417785	10.571456127409	10.5059182570659	10.4276572825274	10.5066078500749
"ENSMUSG00000050423"	2.79272271136637	3.53402166366481	1.80195281239912	1.73369403131583	2.03600978358114	1.92201140957198
"ENSMUSG00000028940"	2.62007164107076	3.01179949490535	3.76802307144789	3.43562701956829	2.73307727510563	3.52076435559489
"ENSMUSG00000021086"	0.226389273889347	0.283763760798702	0.328524444912935	0.0556011931506366	0.192218514122756	0.312479339235661
"ENSMUSG00000087346"	5.39705155620743	6.89228941156274	5.25740887877271	4.7952057444972	6.53169087760484	5.71298115664251
"ENSMUSG00000030495"	11.685299962261	11.2956900446555	12.970836133856	13.1174842243255	13.8187398862122	13.7673746753388
"ENSMUSG00000040505"	6.02605904346427	2.93248078665007	4.21496081747682	4.97063349531054	3.58633461672241	3.1093632336963
"ENSMUSG00000080574"	3.434226561027	3.60627076404489	3.02094783388448	3.19217314529254	2.97212136579665	3.53784192947626
"ENSMUSG00000002897"	10.2870898780376	10.5125571598656	11.0192218679158	10.967891688697	11.3801918561002	11.1264506628011
"ENSMUSG00000086526"	2.25901098489981	2.14549857058711	1.9347521344359	2.06364835151842	1.57823630101379	1.58312076264657
"ENSMUSG00000040711"	11.9415160658834	11.6759965531702	13.0946611021874	13.2860087484335	12.4975308657378	12.7569545242068
"ENSMUSG00000040225"	13.3271731041525	13.4213079017455	13.4562946836983	13.5103341423266	13.2689932118763	13.3077512200608
"ENSMUSG00000031379"	9.96473656323279	10.0461321508879	9.83353344517013	9.39110032380574	10.0476732194573	9.5457739249806
"ENSMUSG00000048332"	11.0545084348773	11.0119075102992	11.5602157250632	11.7407916617813	11.0997965890561	11.242198019253
"ENSMUSG00000102629"	-1.62664755381166	-1.77283677656649	-1.77843895870783	-1.66933740759745	-1.77938654668518	-1.77915445596721
"ENSMUSG00000044066"	11.697417372722	11.2953228221422	10.8940016844966	11.140066609589	10.8171370863514	11.0854285889821
